Unnamed: 0,NRO_HOGAR,COMPONENTE,H15,ANO4,TRIMESTRE,REGION,AGLOMERADO,PONDERA,CH03,CH04,CH06,CH07,CH08,CH09,CH10,CH11,CH15,CH16,ESTADO,CAT_OCUP,CAT_INAC,PP02E,PP02H,PP07I,PP07H,PP04B1,DECINDR,T_VI,NIVEL_ED,V2_M,REALIZADA,IV1,IV2,IV3,IV4,IV5,IV6,IV7,IV8,IV9,IV10,IV11,IV12_1,IV12_2,IV12_3,II1,II2,II3,II4_1,II4_2,II4_3,II7,II8,II9,V1,V2,V21,V22,V3,V5,V6,V7,V8,V11,V12,V13,V14,IX_TOT,IX_MEN10,IX_MAYEQ10,ITF,DECCFR,REALIZADA_jefx,CH04_jefx,CH06_jefx,ESTADO_jefx,NIVEL_ED_jefx,PP02E_jefx,CAT_OCUP_jefx,PP07I_jefx,PP07H_jefx,PP04B1_jefx,REALIZADA_conyuge,CH04_conyuge,ESTADO_conyuge,JEFE_TRABAJA,CONYUGE_TRABAJA,JEFA_MUJER,HOGAR_MONOP,ratio_ocupados,NBI_SUBSISTENCIA,NBI_COBERTURA_PREVISIONAL,NBI_DIFLABORAL,NBI_HACINAMIENTO,NBI_SANITARIA,NBI_TENENCIA,NBI_TRABAJO_PRECARIO,NBI_VIVIENDA,NBI_ZONA_VULNERABLE,DESERTO
3422,1,4,1,2022,2,43,3,305,3,1,18,5,4,1,1,1.0,1,1,3,0,3,0,2,,,,0,0,5,0,1,1,7,1,4,1,1,1,1,1,1,1,2,2,2,7,3,2,1,1,1,3,1,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,4,0,4,0,12,1,1,54,1,4,0,2,0.0,0.0,2.0,1,2.0,3.0,1,0,0,0,0.25,0,0,0.0,0,0,1,0,0,0,0
4786,1,3,1,2021,3,40,29,453,3,2,23,5,2,1,1,1.0,1,1,3,0,3,0,2,,,,1,2000,5,0,1,1,5,1,4,1,1,1,1,1,1,1,2,2,2,5,3,1,1,2,2,1,1,1.0,1,1,2,2,2,2,1,2,2,1,2,2,2,5,1,4,162000,6,1,1,57,1,1,0,2,0.0,0.0,2.0,1,2.0,1.0,1,1,0,0,0.4,0,0,0.0,0,0,0,0,0,0,0
1297,1,3,1,2022,3,43,14,97,3,2,22,5,1,1,1,1.0,3,1,3,0,3,0,2,,,,0,0,5,0,1,1,3,1,4,1,1,1,1,1,1,3,2,2,2,3,3,2,1,2,2,3,2,1.0,1,1,2,2,2,2,2,2,2,2,2,2,2,6,0,6,188000,3,1,1,43,1,2,0,3,0.0,1.0,2.0,1,2.0,1.0,1,1,0,0,0.3333333333333333,0,0,0.0,0,0,1,0,0,0,0
3072,1,6,1,2022,3,1,33,932,3,1,17,5,1,1,1,1.0,1,1,3,0,3,0,2,,,,1,10000,3,0,1,1,2,1,4,1,1,1,1,1,1,1,2,1,2,2,2,2,1,2,2,2,2,1.0,1,2,2,2,2,2,2,2,2,1,2,2,2,6,0,6,0,12,1,2,52,1,4,0,3,0.0,1.0,2.0,1,0.0,0.0,1,0,1,0,0.5,0,0,0.0,1,0,0,0,0,0,0
5599,1,3,1,2022,3,43,5,719,3,2,19,5,4,1,1,1.0,1,1,3,0,3,0,2,,,,0,0,5,0,1,1,2,2,4,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,1.0,1,1,2,2,2,1,2,2,2,2,2,2,2,7,0,7,0,12,1,1,53,3,1,0,0,0.0,0.0,0.0,1,2.0,1.0,0,1,0,0,0.1428571428571428,0,0,0.0,1,0,0,0,0,0,0
6425,1,6,1,2021,2,44,20,77,3,2,18,5,4,1,1,1.0,1,1,3,0,3,0,2,,,,0,0,3,0,1,1,4,1,4,1,1,1,1,1,1,1,2,2,2,4,3,2,1,2,2,1,1,1.0,1,1,2,2,2,2,2,2,2,2,2,1,1,8,0,8,118000,3,1,2,51,1,3,0,3,2.0,2.0,1.0,1,0.0,0.0,1,0,1,0,0.25,0,0,0.0,0,0,0,0,0,0,0
6131,1,2,1,2021,3,44,17,175,10,2,39,5,4,1,1,1.0,2,1,1,2,0,0,0,0.0,0.0,2.0,1,10000,5,0,1,2,1,1,5,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,1,6,1,1.0,1,2,2,2,2,2,2,1,1,2,1,1,1,2,0,2,25000,2,1,2,32,1,5,0,3,0.0,1.0,2.0,1,0.0,0.0,1,0,1,0,1.0,0,0,0.0,0,0,0,0,0,0,0
4647,1,2,1,2022,3,40,22,190,3,1,22,5,4,1,1,1.0,1,1,3,0,3,0,2,,,,1,5200,5,0,1,1,3,2,2,1,1,1,1,1,1,1,2,2,2,3,2,2,1,1,2,1,2,1.0,1,2,2,2,2,2,2,2,2,1,2,2,1,3,0,3,65400,2,1,1,49,1,3,0,3,0.0,1.0,2.0,1,0.0,0.0,1,0,0,0,0.3333333333333333,0,0,0.0,0,0,0,0,0,0,0
535,1,4,1,2022,3,40,19,259,3,2,16,5,1,1,1,1.0,1,1,3,0,3,0,2,,,,0,0,3,0,1,1,2,1,4,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,1,2,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,5,1,4,117000,2,1,1,41,1,2,0,3,0.0,1.0,2.0,1,2.0,1.0,1,1,0,0,0.4,0,0,0.0,0,0,0,0,0,0,0
192,1,3,1,2021,2,42,27,393,3,2,26,5,4,1,1,1.0,1,1,3,0,3,0,2,,,,0,0,5,0,1,1,4,1,1,1,1,1,1,1,1,1,2,2,2,4,2,1,1,1,1,1,1,1.0,1,2,2,2,2,2,2,2,2,2,2,1,2,3,0,3,55000,4,1,1,60,1,2,0,2,0.0,0.0,2.0,1,2.0,1.0,1,1,0,0,0.6666666666666666,0,0,0.0,0,0,0,0,0,0,0
