,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier,param_classifier__n_neighbors,param_classifier__criterion,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__depth,param_classifier__iterations,param_classifier__verbose,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
40,0.20556607246398925,0.034744755801340566,0.01709752082824707,0.0038449045275555332,RandomForestClassifier(),,gini,,24,,,,"{'classifier': RandomForestClassifier(), 'classifier__criterion': 'gini', 'classifier__n_estimators': 24}",0.15878378378378377,0.1016949152542373,0.15593220338983052,0.14864864864864866,0.13175675675675674,0.1393632615666514,0.02104598849625961,53
41,0.21913962364196776,0.011688918923499738,0.015007686614990235,0.0003176924623198157,RandomForestClassifier(),,gini,,28,,,,"{'classifier': RandomForestClassifier(), 'classifier__criterion': 'gini', 'classifier__n_estimators': 28}",0.13851351351351351,0.09491525423728814,0.15593220338983052,0.1554054054054054,0.17905405405405406,0.14476408612001831,0.028063293172344947,49
42,0.26385083198547366,0.03628178269823931,0.0169675350189209,0.0012544552170724642,RandomForestClassifier(),,gini,,32,,,,"{'classifier': RandomForestClassifier(), 'classifier__criterion': 'gini', 'classifier__n_estimators': 32}",0.17229729729729729,0.13898305084745763,0.13898305084745763,0.14527027027027026,0.14527027027027026,0.14816078790655063,0.012391472753733474,42
43,0.06747398376464844,0.0024239184303462506,0.007199335098266602,0.0001846576998954336,RandomForestClassifier(),,entropy,,8,,,,"{'classifier': RandomForestClassifier(), 'classifier__criterion': 'entropy', 'classifier__n_estimators': 8}",0.15878378378378377,0.13898305084745763,0.13898305084745763,0.12837837837837837,0.15878378378378377,0.14478240952817226,0.012070081377273063,48
44,0.10534591674804687,0.014977919808624155,0.009045886993408202,0.0003458562199794115,RandomForestClassifier(),,entropy,,12,,,,"{'classifier': RandomForestClassifier(), 'classifier__criterion': 'entropy', 'classifier__n_estimators': 12}",0.14864864864864866,0.1288135593220339,0.12203389830508475,0.14189189189189189,0.13175675675675674,0.1346289509848832,0.009486894803732241,60
45,0.1509934425354004,0.019883723621489224,0.010697269439697265,0.0007298676712024809,RandomForestClassifier(),,entropy,,16,,,,"{'classifier': RandomForestClassifier(), 'classifier__criterion': 'entropy', 'classifier__n_estimators': 16}",0.13513513513513514,0.12203389830508475,0.16610169491525423,0.12162162162162163,0.14527027027027026,0.13803252404947322,0.016576681997163816,55
46,0.1631542682647705,0.0018041937314747427,0.011914396286010742,0.00034325329422320777,RandomForestClassifier(),,entropy,,20,,,,"{'classifier': RandomForestClassifier(), 'classifier__criterion': 'entropy', 'classifier__n_estimators': 20}",0.16216216216216217,0.13220338983050847,0.18305084745762712,0.125,0.15202702702702703,0.15088868529546495,0.02089093617072885,37
47,0.21652207374572754,0.026477716507933825,0.015915870666503906,0.004200667362995583,RandomForestClassifier(),,entropy,,24,,,,"{'classifier': RandomForestClassifier(), 'classifier__criterion': 'entropy', 'classifier__n_estimators': 24}",0.17229729729729729,0.08135593220338982,0.13220338983050847,0.1554054054054054,0.16891891891891891,0.142036188731104,0.03345423529234815,51
48,0.22378010749816896,0.0006397650672705015,0.015347957611083984,0.00034216559959414426,RandomForestClassifier(),,entropy,,28,,,,"{'classifier': RandomForestClassifier(), 'classifier__criterion': 'entropy', 'classifier__n_estimators': 28}",0.1554054054054054,0.11186440677966102,0.13220338983050847,0.15878378378378377,0.1554054054054054,0.1427324782409528,0.018124845455643076,50
49,0.27633914947509763,0.038603248757947684,0.019327640533447266,0.00461230014299617,RandomForestClassifier(),,entropy,,32,,,,"{'classifier': RandomForestClassifier(), 'classifier__criterion': 'entropy', 'classifier__n_estimators': 32}",0.15878378378378377,0.13220338983050847,0.13898305084745763,0.13513513513513514,0.13513513513513514,0.14004809894640405,0.00961222244554693,52
50,0.05114350318908691,0.0024428909860907504,0.005265235900878906,0.00021549257225070382,BaggingClassifier(),,,,2,,,,"{'classifier': BaggingClassifier(), 'classifier__n_estimators': 2}",0.14189189189189189,0.1152542372881356,0.1694915254237288,0.12162162162162163,0.13851351351351351,0.1373545579477783,0.018924400728033558,57
51,0.09837794303894043,0.003845523787994164,0.006156444549560547,0.00013777145033373443,BaggingClassifier(),,,,4,,,,"{'classifier': BaggingClassifier(), 'classifier__n_estimators': 4}",0.14864864864864866,0.1288135593220339,0.17627118644067796,0.13513513513513514,0.16891891891891891,0.15155748969308291,0.018480408468795607,35
52,0.14867944717407228,0.006015832449615091,0.008317995071411132,0.0016338614735624483,BaggingClassifier(),,,,6,,,,"{'classifier': BaggingClassifier(), 'classifier__n_estimators': 6}",0.15878378378378377,0.15932203389830507,0.1864406779661017,0.15878378378378377,0.18243243243243243,0.16915254237288135,0.012545089226546152,31
53,0.20662689208984375,0.03892566983354802,0.008552980422973634,0.00027023449278973334,BaggingClassifier(),,,,8,,,,"{'classifier': BaggingClassifier(), 'classifier__n_estimators': 8}",0.1858108108108108,0.15932203389830507,0.17627118644067796,0.17229729729729729,0.20270270270270271,0.17928080622995876,0.014473465345115262,27
54,0.2415402889251709,0.004562229579986372,0.010799264907836914,0.002000775166476633,BaggingClassifier(),,,,10,,,,"{'classifier': BaggingClassifier(), 'classifier__n_estimators': 10}",0.19256756756756757,0.17966101694915254,0.16610169491525423,0.19256756756756757,0.19932432432432431,0.18604443426477327,0.011831474004147012,23
55,0.30651183128356935,0.04452706184124665,0.01067037582397461,0.00021581985860408438,BaggingClassifier(),,,,12,,,,"{'classifier': BaggingClassifier(), 'classifier__n_estimators': 12}",0.17567567567567569,0.14576271186440679,0.1864406779661017,0.22635135135135134,0.16891891891891891,0.1806298671552909,0.02646366746790756,26
56,0.36692399978637696,0.042662927978154484,0.011825037002563477,0.00032814294535245123,BaggingClassifier(),,,,14,,,,"{'classifier': BaggingClassifier(), 'classifier__n_estimators': 14}",0.14527027027027026,0.14915254237288136,0.18305084745762712,0.17905405405405406,0.15878378378378377,0.1630622995877233,0.01538584809071221,32
57,0.40764284133911133,0.03731631425172197,0.01564497947692871,0.003489584172299652,BaggingClassifier(),,,,16,,,,"{'classifier': BaggingClassifier(), 'classifier__n_estimators': 16}",0.19256756756756757,0.16271186440677965,0.18305084745762712,0.17567567567567569,0.19256756756756757,0.1813147045350435,0.011261725910531277,25
58,0.45546727180480956,0.03196826133009407,0.016701269149780273,0.003070508718577527,BaggingClassifier(),,,,18,,,,"{'classifier': BaggingClassifier(), 'classifier__n_estimators': 18}",0.17905405405405406,0.1694915254237288,0.17627118644067796,0.17567567567567569,0.1891891891891892,0.17793632615666516,0.0064354352202676355,28
59,0.3971947193145752,0.03581680039954795,0.0064599037170410155,0.0017540689288967448,<catboost.core.CatBoostClassifier object at 0x7f483cb6f450>,,,,,4,100,False,"{'classifier': <catboost.core.CatBoostClassifier object at 0x7f483cb6f450>, 'classifier__depth': 4, 'classifier__iterations': 100, 'classifier__verbose': False}",0.10810810810810811,0.1016949152542373,0.14915254237288136,0.10472972972972973,0.11148648648648649,0.11503435639028861,0.017370877532808644,70
60,0.752197265625,0.10927852741760763,0.007092666625976562,0.0028619034024335442,<catboost.core.CatBoostClassifier object at 0x7f483cb6f450>,,,,,4,200,False,"{'classifier': <catboost.core.CatBoostClassifier object at 0x7f483cb6f450>, 'classifier__depth': 4, 'classifier__iterations': 200, 'classifier__verbose': False}",0.11486486486486487,0.09152542372881356,0.14915254237288136,0.11824324324324324,0.08445945945945946,0.1116491067338525,0.022823544676432862,71
61,1.1030333518981934,0.07546688498425753,0.006310701370239258,0.0008520615708605947,<catboost.core.CatBoostClassifier object at 0x7f483cb6f450>,,,,,4,300,False,"{'classifier': <catboost.core.CatBoostClassifier object at 0x7f483cb6f450>, 'classifier__depth': 4, 'classifier__iterations': 300, 'classifier__verbose': False}",0.10472972972972973,0.07457627118644068,0.16271186440677965,0.11824324324324324,0.08783783783783784,0.10961978928080625,0.0303958768616117,72
62,0.40704760551452634,0.027982877809631913,0.006042098999023438,0.00048566089520989136,<catboost.core.CatBoostClassifier object at 0x7f483cb6f450>,,,,,5,100,False,"{'classifier': <catboost.core.CatBoostClassifier object at 0x7f483cb6f450>, 'classifier__depth': 5, 'classifier__iterations': 100, 'classifier__verbose': False}",0.12837837837837837,0.10847457627118644,0.16610169491525423,0.12837837837837837,0.13513513513513514,0.13329363261566649,0.018676536561405985,61
63,0.8272874832153321,0.06254776409204961,0.015934133529663087,0.020094093384335834,<catboost.core.CatBoostClassifier object at 0x7f483cb6f450>,,,,,5,200,False,"{'classifier': <catboost.core.CatBoostClassifier object at 0x7f483cb6f450>, 'classifier__depth': 5, 'classifier__iterations': 200, 'classifier__verbose': False}",0.10472972972972973,0.09491525423728814,0.16271186440677965,0.125,0.10810810810810811,0.11909299129638114,0.023870621081305627,68
64,1.195777702331543,0.059984760047088505,0.007129383087158203,0.001289583393044512,<catboost.core.CatBoostClassifier object at 0x7f483cb6f450>,,,,,5,300,False,"{'classifier': <catboost.core.CatBoostClassifier object at 0x7f483cb6f450>, 'classifier__depth': 5, 'classifier__iterations': 300, 'classifier__verbose': False}",0.10472972972972973,0.09152542372881356,0.16610169491525423,0.12162162162162163,0.11148648648648649,0.11909299129638114,0.025457200031017462,68
65,0.4721818923950195,0.0271754508117867,0.006499624252319336,0.0014605637402629339,<catboost.core.CatBoostClassifier object at 0x7f483cb6f450>,,,,,6,100,False,"{'classifier': <catboost.core.CatBoostClassifier object at 0x7f483cb6f450>, 'classifier__depth': 6, 'classifier__iterations': 100, 'classifier__verbose': False}",0.14189189189189189,0.10508474576271186,0.15932203389830507,0.14527027027027026,0.13513513513513514,0.13734081539166282,0.01795595484690986,58
66,0.9081995964050293,0.06072796754505265,0.006470394134521484,0.0007812689871082634,<catboost.core.CatBoostClassifier object at 0x7f483cb6f450>,,,,,6,200,False,"{'classifier': <catboost.core.CatBoostClassifier object at 0x7f483cb6f450>, 'classifier__depth': 6, 'classifier__iterations': 200, 'classifier__verbose': False}",0.13851351351351351,0.11186440677966102,0.15254237288135594,0.13513513513513514,0.11824324324324324,0.13125973431058177,0.014602701931819569,63
